institutionCode,collectionCode,locationID,recordedBy,verbatimEventDate,continent,country,stateProvince,county,fieldNumber,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,stratGroup,stratFormation,stratMember,stratBed,bioZone,lithology
CASG,Fossil,1,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,sandstone
CASG,Fossil,2,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,3,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,4,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Empire,,,,
CASG,Fossil,5,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Empire,,,,
CASG,Fossil,6,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Tunnel Point,,,,
CASG,Fossil,7,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Tunnel Point,,,,
CASG,Fossil,8,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,,,,,
CASG,Fossil,9,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,,,,,
CASG,Fossil,10,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,,,,,
CASG,Fossil,11,Bruce Martin,,North America,USA,Oregon,Coos,,,,,,,,,,,,,,,
CASG,Fossil,12,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,13,Bruce Martin,,North America,USA,Oregon,Coos,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,14,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pleistocene,,,,,,,,consolidated blue gray argillaceous sands
CASG,Fossil,15,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,,,,,unconsolidated gray sands
CASG,Fossil,16,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,,,,,
CASG,Fossil,17,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Empire,,,,
CASG,Fossil,18,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Empire,,,,tuff
CASG,Fossil,19,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,20,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,,,,,
CASG,Fossil,21,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Empire,,,,
CASG,Fossil,22,Bruce Martin,,North America,USA,Oregon,Curry,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Empire,,,,
