locationID,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferenceRemarks,geodeticDatum,georeferenceProtocol,georeferenceSources,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,correctedUncertaintyRadiusCircularPolygonWKT,correctedUncertaintyPolygonWKT,dateImported
1,corrected,nafamoso,2016-12-23 21:47:01,,,,,-124.287,43.3734,969,,,2021-04-22 12:37:03
2,corrected,nafamoso,2016-12-23 21:55:36,,,,,-124.3071,43.3589,969,,,2021-04-22 12:37:03
3,corrected,nafamoso,2016-12-23 21:51:24,,,,,-124.3071,43.3589,969,,,2021-04-22 12:37:03
4,corrected,nafamoso,2016-12-23 21:55:04,,,,,-124.3071,43.3589,969,,,2021-04-22 12:37:03
5,corrected,Viekson,2016-08-29 16:17:09,,,,,-124.360208,43.342115,250,,,2021-04-22 12:37:03
6,corrected,Viekson,2016-08-29 16:53:04,,,,,-124.344557,43.345473,301,,,2021-04-22 12:37:03
7,corrected,Viekson,2016-08-29 16:53:42,,,,,-124.346531,43.34616,301,,,2021-04-22 12:37:03
8,corrected,Viekson,2016-08-30 11:37:06,,,,,-124.367343,43.342309,626,,,2021-04-22 12:37:03
9,corrected,Viekson,2016-08-29 17:57:31,,,,,-124.401298,43.307287,211,,,2021-04-22 12:37:03
10,corrected,Viekson,2016-08-29 18:39:16,,,,,-124.382573,43.267578,170,,,2021-04-22 12:37:03
11,corrected,Viekson,2016-08-29 18:53:44,,,,,-124.374687,43.284794,317,,,2021-04-22 12:37:03
12,corrected,Viekson,2016-08-25 14:08:54,,,,,-124.382556,43.244948,30,,,2021-04-22 12:37:03
13,corrected,Viekson,2016-08-25 14:40:31,,,,,-124.384938,43.230976,24,,,2021-04-22 12:37:03
14,corrected,Viekson,2016-09-11 18:37:18,,,,,-124.533811,42.809431,427,,,2021-04-22 12:37:03
15,corrected,Viekson,2016-09-11 20:01:40,,,,,-124.532541,42.806648,779,,,2021-04-22 12:37:03
16,corrected,Viekson,2016-09-10 18:37:19,,,,,-124.532459,42.809093,136,,,2021-04-22 12:37:03
17,corrected,Viekson,2016-09-10 17:50:37,,,,,-124.547891,42.826785,265,,,2021-04-22 12:37:03
18,corrected,Viekson,2016-09-11 18:26:49,,,,,-124.550763,42.82857,77,,,2021-04-22 12:37:03
19,corrected,Viekson,2016-09-10 17:42:41,,,,,-124.5551,42.831978,101,,,2021-04-22 12:37:03
20,corrected,Viekson,2016-09-11 18:33:38,,,,,-124.555612,42.832221,106,,,2021-04-22 12:37:03
21,corrected,Viekson,2016-09-10 18:39:11,,,,,-124.563616,42.835502,109,,,2021-04-22 12:37:03
22,corrected,Viekson,2016-09-11 19:01:27,,,,,-124.528232,42.878718,163,,,2021-04-22 12:37:03
23,corrected,nafamoso,2016-12-18 20:28:13,,,,,-124.433854,43.109976,2546,,,2021-04-22 12:37:03
24,corrected,nafamoso,2016-10-12 17:49:21,,,,,-123.101626,43.304969,1205,,,2021-04-22 12:37:03
25,corrected,nafamoso,2016-10-12 17:47:25,,,,,-123.100685,43.294244,301,,,2021-04-22 12:37:03
26,corrected,nafamoso,2016-10-12 17:52:35,,,,,-123.070943,43.271797,3728,,,2021-04-22 12:37:03
28,corrected,nafamoso,2016-10-12 17:58:59,,,,,-123.650967,43.677584,1020,,,2021-04-22 12:37:03
29,corrected,nafamoso,2016-06-28 16:35:56,,,,,-123.426794,44.398383,3725,,,2021-04-22 12:37:03
30,corrected,nafamoso,2016-06-28 16:30:19,,,,,-123.52177,44.596276,1876,,,2021-04-22 12:37:03
31,corrected,nafamoso,2016-06-28 16:33:35,,,,,-123.514782,44.591148,184,,,2021-04-22 12:37:03
32,corrected,nafamoso,2016-11-19 23:49:54,,,,,-124.065024,44.752424,991,,,2021-04-22 12:37:03
33,corrected,nafamoso,2016-11-19 23:58:38,,,,,-124.058466,44.733708,503,,,2021-04-22 12:37:03
34,corrected,nafamoso,2016-11-20 00:01:18,,,,,-124.059482,44.72214,787,,,2021-04-22 12:37:03
35,corrected,nafamoso,2016-11-19 23:46:02,,,,,-124.059263,44.713839,210,,,2021-04-22 12:37:03
36,corrected,nafamoso,2016-11-19 23:51:03,,,,,-124.073203,44.781598,602,,,2021-04-22 12:37:03
37,corrected,nafamoso,2016-11-20 00:03:09,,,,,-124.071143,44.779161,602,,,2021-04-22 12:37:03
