locationID,decimalLongitude_x,decimalLatitude_x,coordinateUncertaintyInMeters,continent,country,stateProvince,county,locality ,georeferenceRemarks
1,-124.287,43.3734,969,North America,USA,Oregon,Coos,"Coos Bay, 100 yards north of the southwest corner of sec 30, T25S, R13W",
2,-124.3071,43.3589,969,North America,USA,Oregon,Coos,"On the east shore of Coos Bay, along the north side of the SW 1/4 of sec 36, T25S, R14W. About due east of the Coos Heads, or due east of the entrance to South Slough.",
3,-124.3071,43.3589,969,North America,USA,Oregon,Coos,"On the east shore of Coos Bay near the center of the southwest 1/4 of Sec 36, T25S, R14W.",
4,-124.3071,43.3589,969,North America,USA,Oregon,Coos,"Coos Bay. A prominent point on the east shore of Coos Bay about one and one half miles north of the bridge crossing South Slough. This point is locally known as Fossil Point.  It is near the SW corner of Sec 36, T25S, R14W",
5,-124.360208,43.342115,250,North America,USA,Oregon,Coos,"Goldwashers Gulch, about one half of a mile southwest of Coos Heads or Coos Bay bar. ",
6,-124.344557,43.345473,301,North America,USA,Oregon,Coos,"On the east side of Tunnel Point about 3/4 of a mile southwest of Coos Heads, Coos Bay. ",
7,-124.346531,43.34616,301,North America,USA,Oregon,Coos,West of Tunnel Point 3/4 of a mile southwest of the Coos Heads or Coos Bay Bar. In seacliffs,
8,-124.367343,43.342309,626,North America,USA,Oregon,Coos,"Immediately west of Yokam Point, near the center of the north side of sec 4, T26S, R14W. Locally known as Mussel Reef. In the seacliffs. ",
9,-124.401298,43.307287,211,North America,USA,Oregon,Coos,"0.25 mile south of Cape Arago or on the south side of the NE 1/4 of Sec 19, T26S, R14W. In seacliffs",
10,-124.382573,43.267578,170,North America,USA,Oregon,Coos,"0.25 mile north of the mouth of Five Mile Creek. Near the center of the SE 1/4 of Sec 32, T26S, R14S. In seacliffs",
11,-124.374687,43.284794,317,North America,USA,Oregon,Coos,"Near the center of the east side of Sec 33, T26S, R14W.  In the bluff beside the main county road about 1.75 miles northeast of the mouth of Five Mile Creek",
12,-124.382556,43.244948,30,North America,USA,Oregon,Coos,"Sec 8, T27S, R14W. At the base of the sea-cliff",
13,-124.384938,43.230976,24,North America,USA,Oregon,Coos,"Sec 17, T27S, R14W",
14,-124.533811,42.809431,427,North America,USA,Oregon,Curry,Near the mouth of Elk River about 3 miles southeast of Cape Blanco. At the base of the sea-cliffs ,
15,-124.532541,42.806648,779,North America,USA,Oregon,Curry,"Near the mouth of Elk River, 3 miles southeast of Cape Blanco.  Cape Blanco Quad. In the upper portion of the sea-cliffs ",
16,-124.532459,42.809093,136,North America,USA,Oregon,Curry,2.5 miles southeast of Cape Blanco. Near top of seacliff.,
17,-124.547891,42.826785,265,North America,USA,Oregon,Curry,1.25 to 1.5 miles southeast of Cape Blanco,
18,-124.550763,42.82857,77,North America,USA,Oregon,Curry,"About one mile southeast of Cape Blanco, at the top of a layer of tuff.",
19,-124.5551,42.831978,101,North America,USA,Oregon,Curry,About 0.5  mile southeast of Cape Blanco,
20,-124.555612,42.832221,106,North America,USA,Oregon,Curry,0.5  mile southeast of Cape Blanco,
21,-124.563616,42.835502,109,North America,USA,Oregon,Curry,South of the lighthouse at Cape Blanco,
22,-124.528232,42.878718,163,North America,USA,Oregon,Curry,About three miles northeast of Cape Blanco or about one half of a mile northeast of Blacklock Point.,
23,-124.433854,43.109976,2546,North America,USA,Oregon,Coos,"About 0.75 of a mile southwest of Bandon, Oregon.",
24,-123.101626,43.304969,1205,North America,USA,Oregon,Douglas,About one half of a mile north of the Glide Post Office. ,
25,-123.100685,43.294244,301,North America,USA,Oregon,Douglas,about 1/4 of a mile southwest of the Glide Post Office.,
26,-123.070943,43.271797,3728,North America,USA,Oregon,Douglas,About 18 miles NE of Roseburg,
28,-123.650967,43.677584,1020,North America,USA,Oregon,Douglas,about 20-25 miles northwest of Oakland.,
29,-123.426794,44.398383,3725,North America,USA,Oregon,Benton,about 15 miles southwest of Corvallis,
30,-123.52177,44.596276,1876,North America,USA,Oregon,Benton,1/2 mile northeast of Blodgett Station,
31,-123.514782,44.591148,184,North America,USA,Oregon,Benton,1/2 mile southeast of Blodgett Station,
32,-124.065024,44.752424,991,North America,USA,Oregon,Lincoln,1/4 of a mile north of Otter Rock,
33,-124.058466,44.733708,503,North America,USA,Oregon,Lincoln,about 8 miles north of Newport,
34,-124.059482,44.72214,787,North America,USA,Oregon,Lincoln,between 7 and 8 miles north of Newport,
35,-124.059263,44.713839,210,North America,USA,Oregon,Lincoln,about 6 miles north of Newport,
36,-124.073203,44.781598,602,North America,USA,Oregon,Lincoln,about 4 1/2 miles north of Newport,
37,-124.071143,44.779161,602,North America,USA,Oregon,Lincoln,about 4 1/4 miles north of Newport,
38,-124.068311,44.767401,997,North America,USA,Oregon,Lincoln,just south of Cape Foulweather,
39,-124.0644,44.636476,1102,North America,USA,Oregon,Lincoln,immediately south of Nye Beach,
40,-124.0476,44.622378,3272,North America,USA,Oregon,Lincoln,about 1/2 mile southwest of Newport,
41,-124.029213,44.613734,2284,North America,USA,Oregon,Lincoln,a little more than two miles southeast of Newport,
